CODE,REGION,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,CATEGORIA,TIPO_DE_CATEGORIA,SUB_TIPO_CATEGORIA,URL,LATITUD,LONGITUD,REGION_GEOGRAFICA
9913,CUSCO,PAUCARTAMBO,COLQUEPATA,Festividad De La Virgen Asunta De Colquepata,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9913,,,1
9917,CUSCO,PAUCARTAMBO,COLQUEPATA,Leyenda De La Laguna De  Quescay - Colquepata,FOLCLORE,CREENCIAS POPULARES,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9917,,,1
11993,CUSCO,PAUCARTAMBO,COLQUEPATA,Artesanía En Piedra Colquepata,FOLCLORE,ARTESANIA Y ARTES,Piedras,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11993,,,1
12809,ANCASH,ASUNCION,CHACAS,Sitio Arqueológico De Huacramarca,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12809,-77.4332343,-9.1763081,0
12812,ANCASH,ASUNCION,CHACAS,Bajada De Reyes Chacasino,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,"Fiestas Tradicionales(Herranza, carnavales, otros)",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12812,,,0
12821,ANCASH,ASUNCION,CHACAS,Navidad Chacasina,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12821,,,0
13074,AREQUIPA,CARAVELI,ACARI,Festividad De Santiago De Apóstol,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13074,,,0
9931,JUNIN,HUANCAYO,CHONGOS ALTO,Vigía De Yana Ulo,SITIOS NATURALES,ZONAS PAISAJISTICAS,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9931,-75.3326101,-12.3979958,1
9933,JUNIN,HUANCAYO,HUASICANCHA,Iglesia Matriz De Huasicancha,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9933,-75.2819768,-12.3322277,1
10933,ICA,NAZCA,MARCONA,"Reserva Nacional Sistema De Islas, Islotes Y Puntas Guaneras - Punta San Juan",SITIOS NATURALES,AREAS PROTEGIDAS,Reservas Nacionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10933,-75.18832602939888,-15.365934520174465,0
12830,ANCASH,ASUNCION,ACOCHACA,Fiesta Patronal San Miguel Arcangel De Chinchurajra,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12830,,,0
9950,HUANUCO,HUANUCO,CHURUBAMBA,Bosque De Unchog,SITIOS NATURALES,ZONAS PAISAJISTICAS,Bosques,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9950,-76.16941452678,-9.725596218365,1
10357,HUANUCO,HUANUCO,CHURUBAMBA,Carnaval Tinkuy,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,"Fiestas Tradicionales(Herranza, carnavales, otros)",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=10357,,,1
13395,LIMA,HUAROCHIRI,SAN ANDRES DE TUPICOCHA,Laguna Yanasiri,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13395,-76.4267543,-12.0144657,0
11649,AYACUCHO,HUANTA,HUANTA,Canción Flor De Retama,FOLCLORE,MUSICAS Y DANZAS,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11649,,,1
12867,PASCO,DANIEL ALCIDES CARRION,SAN PEDRO DE PILLAO,Formación Rocosa Culebra Rumi,SITIOS NATURALES,OTROS,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12867,-76.490186,-10.444906,1
9984,JUNIN,CHANCHAMAYO,VITOC,Fiesta Patronal De Vitoc,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9984,,,1
9987,LIMA,HUAROCHIRI,SAN ANDRES DE TUPICOCHA,Iglesia San Andres De Tupicocha,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9987,-76.47486705,-12.00178849,0
13112,CUSCO,QUISPICANCHI,OCONGATE,Aguas Termales De Pacchanta,SITIOS NATURALES,AGUA TERMOMINERAL,Ojos de agua,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13112,-71.2428045,-13.7175509,1
9989,LIMA,HUAROCHIRI,SURCO,Catarata De Huanano,SITIOS NATURALES,CAIDAS DE AGUA,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=9989,-76.439263,-11.89455,0
